,Mkt-RF,RF,Month,RM,GROSS-RM,GROSS-RF,CumRet-RM,CumRet-RF
509,-0.0394,0.0043,1968-12-01,-0.0351,1.0,1.0,1.0,1.0
510,-0.0125,0.0053,1969-01-01,-0.007200000000000001,0.9928,1.0053,0.9928,1.0053
511,-0.0584,0.0046,1969-02-01,-0.0538,0.9462,1.0046,0.93938736,1.00992438
512,0.0264,0.0046,1969-03-01,0.031,1.031,1.0046,0.96850836816,1.0145700321479998
513,0.0146,0.0053,1969-04-01,0.0199,1.0199,1.0053,0.9877816846863839,1.0199472533183842
514,-0.001,0.0048,1969-05-01,0.0037999999999999996,1.0038,1.0048,0.9915352550881922,1.0248430001343123
515,-0.0718,0.0051,1969-06-01,-0.06670000000000001,0.9333,1.0051,0.9253998535738098,1.0300696994349974
516,-0.07,0.0053,1969-07-01,-0.06470000000000001,0.9353,1.0053,0.8655264830475844,1.035529068842003
517,0.0468,0.005,1969-08-01,0.0518,1.0518,1.005,0.9103607548694493,1.0407067141862127
518,-0.0298,0.0062,1969-09-01,-0.0236,0.9764,1.0062,0.8888762410545303,1.0471590958141672
519,0.0506,0.006,1969-10-01,0.0566,1.0566,1.006,0.9391866362982167,1.0534420503890523
520,-0.0379,0.0052,1969-11-01,-0.03270000000000001,0.9673,1.0052,0.9084752332912651,1.0589199490510754
521,-0.0263,0.0064,1969-12-01,-0.0199,0.9801,1.0064,0.8903965761487689,1.0656970367250023
522,-0.081,0.006,1970-01-01,-0.075,0.925,1.006,0.8236168329376112,1.0720912189453522
523,0.0513,0.0062,1970-02-01,0.057499999999999996,1.0575,1.0062,0.870974800831524,1.0787381845028134
524,-0.0106,0.005699999999999999,1970-03-01,-0.004900000000000001,0.9951,1.0057,0.8667070243074495,1.0848869921544795
525,-0.11,0.005,1970-04-01,-0.105,0.895,1.005,0.7757027867551674,1.0903114271152519
526,-0.0692,0.0053,1970-05-01,-0.0639,0.9361,1.0053,0.7261353786815122,1.0960900776789628
527,-0.0579,0.0058,1970-06-01,-0.0521,0.9479,1.0058,0.6883037254522054,1.1024474001295008
528,0.0693,0.0052,1970-07-01,0.0745,1.0745,1.0052,0.7395823529983947,1.1081801266101743
529,0.0449,0.0053,1970-08-01,0.0502,1.0502,1.0053,0.7767093871189141,1.1140534812812084
530,0.0418,0.0054,1970-09-01,0.0472,1.0472,1.0054,0.8133700701909268,1.120069370080127
531,-0.0228,0.0046,1970-10-01,-0.0182,0.9818,1.0046,0.7985667349134519,1.1252216891824955
532,0.0459,0.0046,1970-11-01,0.0505,1.0505,1.0046,0.8388943550265812,1.130397708952735
533,0.0572,0.0042,1970-12-01,0.0614,1.0614,1.0042,0.8904024684252132,1.1351453793303365
534,0.0484,0.0038,1971-01-01,0.052199999999999996,1.0522,1.0038,0.9368814772770093,1.1394589317717918
535,0.0141,0.0033,1971-02-01,0.0174,1.0174,1.0033,0.9531832149816294,1.1432191462466388
536,0.0413,0.003,1971-03-01,0.044300000000000006,1.0443,1.003,0.9954092314053156,1.1466488036853786
537,0.0315,0.0028000000000000004,1971-04-01,0.0343,1.0343,1.0028,1.029551768042518,1.1498594203356975
538,-0.0398,0.0029,1971-05-01,-0.0369,0.9631,1.0029,0.991561307801749,1.153194012654671
539,-0.001,0.0037,1971-06-01,0.0027,1.0027,1.0037,0.9942385233328137,1.1574608305014933
